Sample in Buffer,Sample in Window,TRIGGER,axis_rx_tdata_1[511:0],axis_rx_tvalid_1,axis_rx_tuser_1,axis_rx_tkeep_1[63:0],axis_rx_tlast_1,axis_tx_tdata_1[511:0],axis_tx_tvalid_1,axis_tx_tkeep_1[63:0],axis_tx_tlast_1,axis_tx_tready_1,lbus_reset,lbus1_tx_ovfout,lbus1_tx_unfout,RefClkLocked,Reset,qsfp1_intl_ls_IBUF
50,2,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000b00ba3950000000000000000ffffffff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
51,3,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000b00ba3950000000000000000ffffffff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
52,4,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000b00ba3950000000000000000ffffffff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
53,5,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000b00ba3950000000000000000ffffffff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
54,6,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000b00ba3950000000000000000ffffffff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
55,7,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000b00ba3950000000000000000ffffffff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
56,8,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000b00ba3950000000000000000ffffffff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
57,9,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000b00ba3950000000000000000ffffffff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
58,10,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000b00ba3950000000000000000ffffffff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
59,11,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000b00ba3950000000000000000ffffffff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
60,12,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000b00ba3950000000000000000ffffffff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
61,13,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000b00ba3950000000000000000ffffffff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
62,14,1,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000b00ba3950000000000000000ffffffff,0,0,0000000000000000,0,b00ba3950000000000000000ffffffff0000000301da4dfc120078b510279664a8c00a64a8c026da11400040af16260000450008924102350a00acfbc34b6b50,1,0fffffffffffffff,1,1,0,0,0,1,0,1
63,15,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000b00ba3950000000000000000ffffffff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
64,0,0,000000000000000000000000000000000000000000000000000000000000001e000000000000001e0000000000000000b00ba3950000000000000000ffffffff,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
65,1,0,0000000000000000000000000000000000000000000000001200102778b50a64a8c09664a8c025da11400040b016260000450008acfbc34b6b50924102350a00,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
66,2,0,a5199eda0000000000000000ffffffff0000000401da4dfb1200102778b50a64a8c09664a8c025da11400040b016260000450008acfbc34b6b50924102350a00,1,0,0fffffffffffffff,1,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
67,3,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000a5199eda0000000000000000ffffffff0000000401da4dfb,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
68,4,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000a5199eda0000000000000000ffffffff0000000401da4dfb,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
69,5,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000a5199eda0000000000000000ffffffff0000000401da4dfb,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
70,6,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000a5199eda0000000000000000ffffffff0000000401da4dfb,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
71,7,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000a5199eda0000000000000000ffffffff0000000401da4dfb,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
72,8,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000a5199eda0000000000000000ffffffff0000000401da4dfb,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
73,9,0,000000000000000000000000000000000000000000000000000000000000001e0000000000000000a5199eda0000000000000000ffffffff0000000401da4dfb,0,0,0000000000000000,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0,0000000000000000,0,1,0,0,0,1,0,1
